category,cardName,hue,rgb,lightness,hue2
Any+Woman,lucky-me-mothers-day-card,0.0,"[238.12870845416015, 237.63796564800356, 237.51260316752175]",93.26300227876116,12.208544532945005
Wife,share-a-love-thats-valentines-day-card,0.0013613953654339585,"[219.61395069152135, 154.1216676688715, 153.18560833834437]",73.09795275095405,0.8454758592804615
Son,in-our-hearts-valentines-day-card-male,0.02077512920247146,"[170.42439884174746, 32.39267279365479, 33.51529648747325]",39.768053261843576,359.5120149290487
Wife,grateful-youre-mine-christmas-card-for-the-woman-i-love-root-599xxo7874,0.026969563860492717,"[218.5201811642467, 36.87811376049021, 36.89729585719995]",50.07809704406607,359.99366377062853
Wife,queen-of-my-life-valentines-day-card,0.10554495115738692,"[218.74801412180054, 136.0372903795234, 118.16482789055604]",66.06134157105032,10.661302246606848
Granddaughter,bicycle-valentines-day-card-for-granddaughter-and-her-husband-root-299vee2153,0.15550171840668006,"[249.2804466919511, 232.5551341480545, 217.94669195111672]",91.6131644398172,27.973236500571574
Any+Woman,you-shine-birthday-card-with-light,0.2189781021870904,"[241.1364653243848, 240.7887770320656, 240.7507457121551]",94.48768843853723,5.915901401641944
Boy,supercoolpowers-valentines-day-card,0.26959797767833793,"[250.5950367647059, 38.31452205882353, 37.332536764705885]",56.456386966551335,0.2762750959360344
Any+Woman,whats-up-girl-thinking-of-you-card,0.27159285539514033,"[230.5889809848854, 60.242808386153094, 113.77035592393955]",57.025841053144795,341.14631633178766
Daughter,all-kinds-of-wonderful-like-a-daughter-birthday-card-root-299fbd8084,0.30180779822563925,"[249.90634306134604, 235.09127456819536, 235.0208457415128]",95.08376251036448,0.2838823258745311
Girl,disney-minnie-mouse-pure-sweetness-birthday-card-root-359hkb4771,0.35819681283797794,"[233.56135265700482, 113.05893719806764, 112.2719806763285]",67.81045751633987,0.3892953729851245
Any+Woman,two-women-drinking-wine-funny-thinking-of-you-card,0.4123202126283408,"[233.49930118798042, 190.76432564640112, 189.12700908455625]",82.8679039750072,2.2139715812226566
Any+Man,an-awesome-ride-birthday-card-with-keychain-root-599man2777,0.4362578768783285,"[141.32416257257705, 49.30343903528361, 48.625904421616795]",37.245111175332134,0.43854197080819307
Daughter,cute-dog-with-bow-root-299vkd2157,0.4869868995633165,"[230.60697964270878, 218.77426949176015, 218.6741448552832]",88.09433813686117,0.5034409924913463
Any+Woman,designs-celebrate-banner-birthday-card,0.5058008369737932,"[217.29220049449316, 140.2564621263205, 138.9804450438301]",69.8573814781026,0.977644090709454
Brother,in-our-hearts-valentines-day-card-male,0.53399268658303,"[169.26955922865014, 39.96501377410468, 32.29366391184573]",39.522200615783504,3.3603065026220658
Wife,lovebirds-religious-valentines-day-card,0.5417793734322626,"[245.57578114870998, 232.09983145339038, 232.13665240503047]",93.66188482394124,359.83605926496045
Granddaughter,thanking-god-for-valentines-day-card,0.6579412805111949,"[200.59110417479516, 22.00390167772142, 60.72103004291846]",43.64607957892483,346.9921939006246
Mother,pink-floral-religious-mothers-day-card,0.7109400752795977,"[251.7019584744515, 194.81004270357826, 194.14813724046533]",87.42158739508173,0.6900380710659687
Daughter,good-memories-easter-card-for-daughter,0.7287338893100588,"[246.78683338354926, 245.03193733052123, 245.04745405242542]",96.43505308119028,359.4694823590006
Sister,youll-always-be-like-a-sister-to-me-birthday-card-root-499fbd4109,0.7301921449652471,"[245.40921532846716, 212.90556569343065, 212.47650547445255]",89.78151388292544,0.7817034569217927
Daughter,daughterinlaw-pink-floral-mothers-day-card,0.7461816649695657,"[248.5589063794532, 222.53968516984258, 222.4188898094449]",92.34858748801923,0.2772653798611873
Mother,cartoon-yoga-mom-pop-up-mothers-day-card,0.7903227240003614,"[247.495703125, 226.39375, 226.1396484375]",92.86967677696079,0.7139002954006987
Wife,lucky-to-be-your-husband-birthday-card-for-wife-root-699fbd1195,0.853600864748008,"[191.2819447837772, 61.78255558270217, 59.87173222575128]",49.24581902147617,0.8724542726573006
Niece,wishing-you-lifes-best-birthday-card-for-niece-root-399fbd8204,0.8932831316645231,"[248.31870092790862, 236.12348322626696, 235.94450392576732]",94.95356957915216,0.8678347393467213
Girl,one-step-ahead-quinceaera-card-root-299bih1669,1.0428088183832576,"[228.97954449599325, 227.22543230704343, 227.25917334458035]",89.45195623588955,358.8458764125982
Boy,boy-first-communion-hands-and-bow-tie-root-199cds6179,1.0849082293990906,"[243.83951745567538, 74.4659111679766, 93.16486931091208]",62.41282914189254,353.37596032128886
Husband,chips-and-nacho-dip-anniversary-card-for-husband,1.1445785388247527,"[135.55, 33.61828793774319, 31.63599221789883]",32.781567101548795,1.1445785388247527
Any+Woman,paisley-and-flowers-amazing-woman-birthday-card,1.152850249127073,"[223.87312755333636, 84.14049024058103, 80.07467090331366]",59.59760754051962,1.6964657752187635
Mother,geometric-pink-and-flowers-mothers-day-card,1.1902932061108829,"[248.28324119871982, 185.80011638056445, 184.542042478906]",84.86770268188741,1.184233048884313
Girl,celebration-spinner-birthday-card,1.1920418271034063,"[230.1607873210634, 134.03348670756645, 131.45961145194275]",70.90596054372669,1.5646471683599898
Girl,disney-elena-of-avalor-birthday-card-with-stickers,1.1991935364023196,"[165.43974009641585, 40.908614546216725, 38.340180255711594]",39.95684712786813,1.212483014287788
Niece,youre-a-bright-spot-in-our-family-birthday-card-for-niece-root-599fbd8206,1.257734440833054,"[186.99510717614166, 129.9061043802423, 128.62604846225537]",61.886501105568044,1.3158230879769968
Son,for-a-wonderful-son-and-the-man-he-loves-christmas-card-root-499xxo7095,1.2765075024616943,"[178.28475997118343, 31.212718580129675, 28.066147095422096]",40.460962169922645,1.256796913965632
Wife,awesome-woman-valentine-card-for-wife,1.2979446237472558,"[236.27130827685357, 188.33066338057097, 186.82214006982954]",82.95949967582021,1.8303927432216884
Daughter,youre-an-amazing-mom-daughter-card-root-499moa1494,1.3604502717849305,"[233.46577574967407, 193.36277705345503, 192.5068448500652]",83.52404325485085,1.2538396651334374
Any+Woman,you-are-a-positive-powerful-woman-religious-birthday-card-root-399mhb8221,1.381775224961892,"[251.65, 234.64493670886077, 189.2131329113924]",86.44375155125341,43.65863239069338
Any+Woman,your-smile-spanishlanguage-mothers-day-card-root-799mth7082,1.4804788613284343,"[237.88045769346581, 229.85395965070762, 227.40409515206264]",91.23226526382909,14.03081168084618
Husband,valentine-card-for-the-man-of-the-house,1.5034905911056362,"[211.5759763702002, 92.36215950114867, 89.18903839842469]",58.97353230757351,1.5556175300941464
Any+Woman,let-there-be-cake-and-laughter-birthday-card-root-359hbd4267,1.5234503115775682,"[236.88824662813101, 144.6974951830443, 135.61030828516377]",73.03893233594016,5.383514147241659
Wife,the-blessings-you-bring-to-my-life-christmas-card-for-wife-root-699xxo9973,1.5475432984004396,"[195.8176440329218, 54.83307613168724, 51.302597736625515]",48.4549493665779,1.4657899584337784
Granddaughter,pink-petit-fours-cake-birthday-card-for-granddaughter-root-299fbd4027,1.569867246509462,"[213.92625127681308, 158.3564862104188, 157.49948927477018]",72.8285765787418,0.9112664685075296
Wife,radiant-queen-christmas-card-for-wife-root-599sx2016,1.63229654471091,"[155.23912310286678, 37.41450252951096, 37.56290050590219]",37.77522071223093,359.9244310863031
Girl,its-your-day-spanishlanguage-birthday-card-root-299bih1628,1.6519898472295422,"[249.51820657336458, 225.34380343233488, 230.98746121208282]",93.11019804033323,345.9926441695614
